Name,Insta Handle,Twitter Handles,Final Insta,Final Twitter
Kartik Aaryan,kartikaaryan,TheAaryanKartik,1.13,1.58
Katrina Kaif,katrinakaif,KatrinaKaif_,1.2,0.06
Kiara Advani,kiaraaliaadvani,advani_kiara,0.92,1.2
Kriti Sanon,kritisanon,kritisanon,1.1,1.01
Madhavan,actormaddy,ActorMadhavan,0.64,1.82
Manoj Bajpayee,bajpayee.manoj,BajpayeeManoj,0.82,1.53
Mrunal Thakur,mrunalofficial2016,mrunal0801,0.72,0.51
Nargis Fakhri,nargisfakhri,NargisFakhri,0.49,0.97
Naseeruddin Shah,naseerudinshah,naseeruddinshah,0,0.13
Nawazuddin Siddiqui,nawazuddin._siddiqui,Nawazuddin_S,0.81,1.14
Nushrat Bharucha,,bnushrat,0,0
Parineeti Chopra,parineetichopra,ParineetiChopra,0.84,0.44
Prabhas,actorprabhas,PrabhasRaju,0.09,1.07
Preity Zinta,realpz,realpreityzinta,0.74,0.97
Priyanka Chopra,priyankachopra,priyankachopra,1.29,1.57
Radhika Apte,radhikaofficial,radhika_apte,0.63,0.93
Rajkumaar Rao,rajkummar_rao,RajkummarRao,0.98,1.05
Rakul Preet Singh,rakulpreet,Rakulpreet,0.77,1.16
Ranbir Kapoor,ranbirkapoor,,1.03,0
Randeep Hooda,randeephooda,RandeepHooda,0.88,1.14
Ranveer Singh,ranveersingh,ranveerofficial,1,1.35
Richa Chadda,therichachadha,richachadha,0.73,0.75
Riteish Deshmukh,riteishd,Riteishd,0.61,1.29
Saif Ali Khan,,,0,0
Salman Khan,beingsalmankhan,BeingSalmanKhan,1.03,1.91
